الجدول ١
Credit-Application-Result;Account-Balance;Duration-of-Credit-Month;Payment-Status-of-Previous-Credit;Purpose;Credit-Amount;Value-Savings-Stocks;Length-of-current-employment;Instalment-per-cent;Guarantors;Duration-in-Current-address;Most-valuable-available-asset;Age-years;Concurrent-Credits;Type-of-apartment;No-of-Credits-at-this-Bank;Occupation;No-of-dependents;Telephone;Foreign-Worker
Creditworthy;Some Balance;٢٤;No Problems (in this bank);New car;٢١٩٧;£100-£1000;1-4 yrs;٤;None;;٣;٤٣;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Creditworthy;No Account;٢٤;Some Problems;Home Related;٢٣٢٥;< £100;1-4 yrs;٢;None;;٣;٣٢;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);New car;٢٣٤٦;None;1-4 yrs;٤;None;;٣;٣٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;٢٤;Paid Up;Other;٢٣٨٤;None;4-7 yrs;٤;None;٤;١;;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;٢٤;Paid Up;Home Related;٢٣٨٤;None;4-7 yrs;٤;None;٤;١;٦٤;Other Banks/Depts;١;1;١;١;١;١
Non-Creditworthy;No Account;٢٤;Paid Up;Home Related;٢٤٣٩;None;< 1yr;٤;None;٤;١;٣٥;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٢٤٦٣;< £100;1-4 yrs;٤;None;;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٢٥٧٨;£100-£1000;4-7 yrs;٢;None;;٣;٣٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;New car;٢٦٧٠;None;4-7 yrs;٤;None;;٣;٣٥;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;New car;٢٦٧٩;None;< 1yr;٤;None;;٤;٢٩;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٢٦٨٤;None;< 1yr;٤;None;٢;١;٣٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;٢٨٢٥;£100-£1000;1-4 yrs;٤;None;;٤;٣٤;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Creditworthy;No Account;٢٤;Some Problems;Used car;٢٨٢٨;£100-£1000;< 1yr;٤;None;٤;١;٢٢;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Used car;٢٨٣٥;£100-£1000;4-7 yrs;٣;None;;٢;٥٣;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٢٨٧٢;< £100;4-7 yrs;٣;None;٤;١;٣٦;Other Banks/Depts;٢;1;١;٢;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Used car;٢٨٩٢;None;4-7 yrs;٣;None;;٤;٥١;Other Banks/Depts;٣;1;١;١;١;١
Creditworthy;No Account;٢٤;Paid Up;Home Related;٢٨٩٦;< £100;< 1yr;٢;None;;٣;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٢٤;Paid Up;New car;٢٩١٠;None;1-4 yrs;٢;None;;٤;٣٤;Other Banks/Depts;٣;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٢٩٧٨;£100-£1000;< 1yr;٤;None;٤;١;٣٢;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Creditworthy;No Account;٢٤;Paid Up;Used car;٣٠٢١;None;< 1yr;٢;None;٢;١;٢٤;Other Banks/Depts;١;1;١;١;١;١
Non-Creditworthy;No Account;٢٤;Paid Up;Home Related;٣٠٩٢;< £100;< 1yr;٣;None;;٣;٢٢;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٣١٠٥;£100-£1000;< 1yr;٤;None;;٣;٢٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٢٤;Some Problems;Home Related;٣١٦١;None;< 1yr;٤;None;;٢;٣١;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٣٢٣٥;£100-£1000;4-7 yrs;٣;None;;٣;٣٦;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;Some Problems;Used car;٣٣٤٩;£100-£1000;< 1yr;٤;None;;٤;٣٠;Other Banks/Depts;٣;1;١;٢;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٣٤٣٠;£100-£1000;4-7 yrs;٣;None;;٣;٣١;Other Banks/Depts;٢;1;١;٢;٢;١
Non-Creditworthy;No Account;٢٤;Some Problems;Used car;٣٥٥٢;None;1-4 yrs;٣;None;;٣;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Other;٣٦١٧;£100-£1000;4-7 yrs;٤;Yes;٤;٤;;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Used car;٣٦١٧;£100-£1000;4-7 yrs;٤;Yes;;٤;٢٠;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;No Account;٢٤;Some Problems;New car;٣٦٣٢;None;< 1yr;١;Yes;;٣;٢٢;Other Banks/Depts;١;1;١;١;١;٢
Creditworthy;Some Balance;٢٤;Paid Up;Used car;٣٧٤٩;None;< 1yr;٢;None;;٣;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٣٧٥٧;None;4-7 yrs;٤;Yes;;٤;٦٢;Other Banks/Depts;٣;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);New car;٣٨٦٨;None;4-7 yrs;٤;None;;٣;٤١;Other Banks/Depts;١;More than 1;١;١;٢;١
Creditworthy;No Account;٢٤;Paid Up;Used car;٤٠٢٠;None;< 1yr;٢;None;;٣;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);New car;٤٠٤٢;£100-£1000;1-4 yrs;٣;None;;٢;٤٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;Paid Up;New car;٤١١٣;£100-£1000;< 1yr;٣;None;;٣;٢٨;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٤١٣٩;< £100;< 1yr;٣;None;;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Used car;٤١٥١;< £100;< 1yr;٢;None;;٢;٣٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٢٤;Some Problems;Home Related;٤٢٤١;None;< 1yr;١;None;٤;١;٣٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;٢٤;Paid Up;Used car;٤٣٥١;£100-£1000;< 1yr;١;None;;٢;٤٨;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٤٥٢٦;None;< 1yr;٣;None;٢;١;٧٤;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٤٥٩١;£100-£1000;< 1yr;٢;None;;٢;٥٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;No Problems (in this bank);Used car;٤٧٣٦;None;< 1yr;٢;None;;٣;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٢٤;Paid Up;Home Related;٤٨١٧;None;1-4 yrs;٢;Yes;;٢;٣١;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;٤٨٧٠;None;< 1yr;٣;None;;٤;٥٣;Other Banks/Depts;٣;More than 1;١;٢;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Other;٥١٠٣;None;< 1yr;٣;None;٣;٤;;Other Banks/Depts;٣;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٥١٠٣;None;< 1yr;٣;None;;٤;٤٧;Other Banks/Depts;٣;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;New car;٥٤٣٣;£100-£1000;< 1yr;٢;None;;٢;٢٦;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٥٥٠٧;None;4-7 yrs;٣;None;;٤;٤٤;Other Banks/Depts;٣;More than 1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Used car;٥٥١١;< £100;< 1yr;٤;None;;٣;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;٥٧٤٣;None;< 1yr;٢;None;;٤;٢٤;Other Banks/Depts;٣;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);New car;٥٨٠٤;£100-£1000;< 1yr;٤;None;٢;١;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٥٩٤٣;£100-£1000;< 1yr;١;None;;٣;٤٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;٦٤٠٣;None;< 1yr;١;None;;٣;٣٣;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٢٤;No Problems (in this bank);New car;٦٤١٩;None;4-7 yrs;٢;None;;٤;٤٤;Other Banks/Depts;٣;More than 1;١;٢;٢;١
Creditworthy;No Account;٢٤;No Problems (in this bank);New car;٦٦١٥;None;< 1yr;٢;None;;٤;٧٥;Other Banks/Depts;٣;More than 1;١;١;٢;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;٦٩٦٧;< £100;1-4 yrs;٤;None;;٣;٣٦;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٧٣٩٣;None;< 1yr;١;None;;٢;٤٣;Other Banks/Depts;٢;1;١;٢;١;١
Non-Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٨٦٤٨;None;< 1yr;٢;None;;٣;٢٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;New car;٩٢٧٧;£100-£1000;< 1yr;٢;None;;٤;٤٨;Other Banks/Depts;٣;1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;١١٩٣٨;None;< 1yr;٢;Yes;;٣;٣٩;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Non-Creditworthy;No Account;٢٤;Paid Up;New car;١٢٥٧٩;None;4-7 yrs;٤;None;;٤;٤٤;Other Banks/Depts;٣;1;١;١;٢;١
Creditworthy;No Account;٢٦;Paid Up;New car;٧٩٦٦;None;< 1yr;٢;None;;٣;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٢٧;No Problems (in this bank);Home Related;٢٥٢٠;£100-£1000;< 1yr;٤;None;;٢;٢٣;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;٢٧;Paid Up;Home Related;٢٥٧٠;None;< 1yr;٣;None;٣;١;٢١;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;٢٧;No Problems (in this bank);Home Related;٥١١٧;None;1-4 yrs;٣;None;;٣;٢٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;٢٧;No Problems (in this bank);New car;٥٩٦٥;None;4-7 yrs;١;None;;٣;٣٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٧;No Problems (in this bank);New car;٨٦١٣;£100-£1000;< 1yr;٢;None;;٣;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٢٨;No Problems (in this bank);Home Related;٢٧٤٣;None;4-7 yrs;٤;None;;٣;٢٩;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٢٨;Paid Up;Home Related;٤٠٠٦;None;< 1yr;٣;None;;٣;٤٥;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٨;Some Problems;New car;٧٨٢٤;£100-£1000;< 1yr;٣;Yes;٤;١;٤٠;Other Banks/Depts;١;More than 1;١;٢;٢;١
Creditworthy;Some Balance;٣٠;Paid Up;Other;١٨٦٧;£100-£1000;4-7 yrs;٤;None;٤;٣;;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٣٠;Paid Up;Home Related;١٨٦٧;£100-£1000;4-7 yrs;٤;None;;٣;٥٨;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;Some Balance;٣٠;No Problems (in this bank);Home Related;١٩٠٨;None;4-7 yrs;٤;None;٤;١;٦٦;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٣٠;No Problems (in this bank);Home Related;١٩١٩;< £100;< 1yr;٤;None;;٤;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٣٠;Paid Up;Home Related;٢١٥٠;None;< 1yr;٤;Yes;;٤;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٣٠;No Problems (in this bank);Home Related;٢١٨١;£100-£1000;4-7 yrs;٤;None;٤;١;٣٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٣٠;Paid Up;Home Related;٢٣٣٣;£100-£1000;4-7 yrs;٤;None;;٣;٣٠;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٣٠;Paid Up;Home Related;٢٥٢٢;None;4-7 yrs;١;Yes;;٢;٣٩;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;٣٠;Paid Up;Home Related;٢٩٩١;£100-£1000;4-7 yrs;٢;None;;٣;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٣٠;No Problems (in this bank);Home Related;٣٠١٧;None;4-7 yrs;٤;None;;٢;٤٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٣٠;No Problems (in this bank);Home Related;٣٠٧٧;£100-£1000;4-7 yrs;٣;None;;٣;٤٠;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Creditworthy;Some Balance;٣٠;No Problems (in this bank);Home Related;٣٦٥٦;£100-£1000;4-7 yrs;٤;None;;٢;٤٩;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;٣٠;Some Problems;Home Related;٤٢٢١;None;< 1yr;٢;None;;٣;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٣٠;No Problems (in this bank);Home Related;٤٢٤٩;None;< 1yr;٤;None;;٣;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٣٠;No Problems (in this bank);Home Related;٤٢٧٢;< £100;< 1yr;٢;None;;٢;٢٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٣٠;Some Problems;Home Related;٤٢٨٠;< £100;< 1yr;٤;None;;٣;٢٦;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;Some Balance;٣٠;Paid Up;New car;٤٨١١;£100-£1000;1-4 yrs;٢;None;;٢;٢٤;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;٣٠;No Problems (in this bank);New car;٦١٨٧;< £100;1-4 yrs;١;None;;٣;٢٤;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;Some Balance;٣٣;No Problems (in this bank);Home Related;٢٧٦٤;None;< 1yr;٢;None;;٣;٢٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;No Account;٣٣;No Problems (in this bank);Used car;٤٢٨١;£100-£1000;< 1yr;١;None;;٣;٢٣;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٣٣;No Problems (in this bank);New car;٧٢٥٣;None;1-4 yrs;٣;None;;٣;٣٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٣٦;Paid Up;Home Related;٩٠٩;£100-£1000;4-7 yrs;٤;None;;٢;٣٦;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٣٦;Paid Up;Home Related;١٨٤٢;None;< 1yr;٤;None;;٣;٣٤;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٣٦;No Problems (in this bank);Home Related;٢١٤٥;None;1-4 yrs;٢;None;;٣;٢٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;No Account;٣٦;No Problems (in this bank);Home Related;٢٢٢٥;None;4-7 yrs;٤;None;;٤;٥٧;Other Banks/Depts;٣;More than 1;١;١;٢;١
Creditworthy;No Account;٣٦;Paid Up;Home Related;٢٢٧٣;None;1-4 yrs;٣;None;;٣;٣٢;Other Banks/Depts;٢;More than 1;١;٢;١;١
Creditworthy;Some Balance;٣٦;Paid Up;Home Related;٢٢٩٩;£100-£1000;4-7 yrs;٤;None;;٣;٣٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٣٦;Paid Up;Home Related;٢٣٢٣;None;1-4 yrs;٤;None;;٣;٢٤;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;٣٦;No Problems (in this bank);Used car;٢٣٤٨;None;< 1yr;٣;None;;٢;٤٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٣٦;Paid Up;Home Related;٢٣٩٤;£100-£1000;< 1yr;٤;None;;٣;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٣٦;Some Problems;Home Related;٢٦١٣;None;< 1yr;٤;None;;٣;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٣٦;Paid Up;Home Related;٢٦٧١;< £100;< 1yr;٤;Yes;;٤;٥٠;Other Banks/Depts;٣;1;١;١;١;١
Non-Creditworthy;No Account;٣٦;Some Problems;Used car;٢٧٤٦;None;4-7 yrs;٤;None;;٣;٣١;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٣٦;No Problems (in this bank);Home Related;٢٨٢٠;None;< 1yr;٤;None;;٣;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;٣٦;No Problems (in this bank);Home Related;٢٨٦٢;< £100;4-7 yrs;٤;None;;٤;٣٠;Other Banks/Depts;٣;1;١;١;١;١
Creditworthy;Some Balance;٣٦;Paid Up;Home Related;٣٠٧٩;£100-£1000;< 1yr;٤;None;٤;١;٣٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٣٦;No Problems (in this bank);Home Related;٣٥٣٥;None;1-4 yrs;٤;None;;٣;٣٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٣٦;Paid Up;Home Related;٣٥٩٥;None;4-7 yrs;٤;None;;٣;٢٨;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٣٦;Paid Up;Used car;٣٦٢٠;None;< 1yr;١;Yes;;٢;٣٧;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;٣٦;Paid Up;Home Related;٣٧١١;£100-£1000;< 1yr;٢;None;;٣;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٣٦;Some Problems;Home Related;٣٨٠٤;None;< 1yr;٤;None;;٣;٤٢;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;Some Balance;٣٦;Paid Up;Home Related;٤٢١٠;None;< 1yr;٤;None;;٣;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٣٦;No Problems (in this bank);Home Related;٤٤٥٤;None;< 1yr;٤;None;٤;١;٣٤;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٣٦;No Problems (in this bank);Home Related;٤٤٥٥;None;< 1yr;٢;None;٢;١;٣٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٣٦;Paid Up;Home Related;٤٤٧٣;None;4-7 yrs;٤;None;;٣;٣١;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٣٦;Paid Up;Used car;٥١٧٩;None;1-4 yrs;٤;None;;٢;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٣٦;Paid Up;Home Related;٥٨٤٨;None;< 1yr;٤;None;;٣;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٣٦;No Problems (in this bank);Home Related;٦٨٨٧;None;< 1yr;٤;None;;٢;٢٩;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٣٦;Paid Up;New car;٦٩٤٨;None;< 1yr;٢;None;;٣;٣٥;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;No Account;٣٦;No Problems (in this bank);Home Related;٧٤٣٢;None;< 1yr;٢;None;;٢;٥٤;Other Banks/Depts;١;1;١;١;١;١
Non-Creditworthy;Some Balance;٣٦;No Problems (in this bank);Home Related;٧٨٥٥;None;< 1yr;٤;None;٢;١;٢٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;Some Balance;٣٦;No Problems (in this bank);Home Related;٧٩٨٠;£100-£1000;< 1yr;٤;None;;٣;٢٧;Other Banks/Depts;١;More than 1;١;١;٢;١
Non-Creditworthy;No Account;٣٦;No Problems (in this bank);Home Related;٨٠٦٥;None;< 1yr;٣;None;;٤;٢٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٣٦;Paid Up;New car;٨١٣٣;None;< 1yr;١;None;;٢;٣٠;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٣٦;Paid Up;New car;٨٢٢٩;None;< 1yr;٢;None;;٢;٢٦;Other Banks/Depts;٢;1;١;٢;١;١
Non-Creditworthy;No Account;٣٦;Paid Up;Used car;٩٠٣٤;< £100;< 1yr;٤;Yes;;٤;٢٩;Other Banks/Depts;١;1;١;١;٢;١
Non-Creditworthy;No Account;٣٦;Paid Up;New car;٩٣٩٨;None;< 1yr;١;None;;٣;٢٨;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;٣٦;No Problems (in this bank);Home Related;٩٥٦٦;None;< 1yr;٢;None;;٣;٣١;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٣٦;No Problems (in this bank);New car;١٠٤٧٧;£100-£1000;4-7 yrs;٢;None;;٤;٤٢;Other Banks/Depts;٣;More than 1;١;١;١;١
Non-Creditworthy;No Account;٣٦;Paid Up;Home Related;١٢٦١٢;< £100;< 1yr;١;None;;٤;٤٧;Other Banks/Depts;٣;1;١;٢;٢;١
Non-Creditworthy;No Account;٣٦;Paid Up;Other;١٤٣١٨;None;4-7 yrs;٤;None;٢;٤;٥٧;Other Banks/Depts;٣;1;١;١;٢;١
Non-Creditworthy;No Account;٣٦;Paid Up;Home Related;١٤٣١٨;None;4-7 yrs;٤;None;;٤;٥٧;Other Banks/Depts;٣;1;١;١;٢;١
Creditworthy;Some Balance;٣٩;Paid Up;New car;٢٥٦٩;£100-£1000;< 1yr;٤;None;;٣;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٣٩;Paid Up;New car;٨٥٨٨;< £100;4-7 yrs;٤;None;;٣;٤٥;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٣٩;No Problems (in this bank);Home Related;١١٧٦٠;< £100;1-4 yrs;٢;None;;٤;٣٢;Other Banks/Depts;١;1;١;١;٢;١
Non-Creditworthy;No Account;٤٠;No Problems (in this bank);Home Related;٥٩٩٨;None;< 1yr;٤;None;;٤;٢٧;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٤٢;Paid Up;Home Related;٣٩٦٥;None;< 1yr;٤;None;;٣;٣٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٤٢;No Problems (in this bank);Used car;٤٠٤١;£100-£1000;< 1yr;٤;None;٤;١;٣٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;٤٢;No Problems (in this bank);Home Related;٥٩٥٤;None;1-4 yrs;٢;None;١;١;٤١;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٤٢;Paid Up;Home Related;٧١٦٦;£100-£1000;1-4 yrs;٢;None;;٢;٢٩;Other Banks/Depts;١;1;١;١;٢;١
Non-Creditworthy;No Account;٤٢;Paid Up;Home Related;٧١٧٤;£100-£1000;1-4 yrs;٤;None;;٣;٣٠;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٤٥;Paid Up;Home Related;١٨٤٥;None;< 1yr;٤;None;;٤;٢٣;Other Banks/Depts;٣;1;١;١;٢;١
Non-Creditworthy;No Account;٤٥;Paid Up;Home Related;٣٠٣١;< £100;< 1yr;٤;Yes;;٢;٢١;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;٤٥;No Problems (in this bank);New car;٤٥٧٦;< £100;< 1yr;٣;None;;٣;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٤٥;Some Problems;Home Related;١١٨١٦;None;4-7 yrs;٢;None;;٣;٢٩;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;No Account;٤٧;Paid Up;Home Related;١٠٧٢٢;None;< 1yr;١;None;١;١;٣٥;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٤٨;No Problems (in this bank);New car;٢٧٥١;£100-£1000;4-7 yrs;٤;None;;٣;٣٨;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Non-Creditworthy;No Account;٤٨;Paid Up;Home Related;٣٠٦٠;None;1-4 yrs;٤;None;٤;١;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;٤٨;Some Problems;Home Related;٣٥٦٦;< £100;1-4 yrs;٤;None;;٣;٣٠;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٤٨;No Problems (in this bank);Home Related;٣٥٧٨;£100-£1000;4-7 yrs;٤;None;١;١;٤٧;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٤٨;Some Problems;Home Related;٣٦٠٩;None;< 1yr;١;None;١;١;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٤٨;Paid Up;Home Related;٣٩٣١;None;1-4 yrs;٤;None;;٤;٤٦;Other Banks/Depts;٣;1;١;٢;١;١
Non-Creditworthy;No Account;٤٨;Paid Up;Home Related;٤٣٠٨;None;< 1yr;٣;None;;٢;٢٤;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;٤٨;Paid Up;New car;٤٧٨٨;None;1-4 yrs;٤;None;;٢;٢٦;Other Banks/Depts;٢;1;١;٢;١;١
Non-Creditworthy;Some Balance;٤٨;Paid Up;Home Related;٤٨٤٤;None;< 1yr;٣;None;;٣;٣٣;Other Banks/Depts;١;1;١;١;٢;١
