الجدول ١
Account-Balance;Duration-of-Credit-Month;Payment-Status-of-Previous-Credit;Purpose;Credit-Amount;Value-Savings-Stocks;Length-of-current-employment;Instalment-per-cent;Guarantors;Duration-in-Current-address;Most-valuable-available-asset;Age-years;Concurrent-Credits;Type-of-apartment;No-of-Credits-at-this-Bank;Occupation;No-of-dependents;Telephone;Foreign-Worker
No Account;١٠;Paid Up;Used car;١٥٢١;None;< 1yr;٤;None;٢;٣;٣١;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٦;Some Problems;Home Related;٣٩٩٠;£100-£1000;< 1yr;٣;None;٢;٤;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٨;Paid Up;Used car;٣٠٤٩;None;< 1yr;١;None;١;٢;٤٥;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;١٢٨٢;< £100;< 1yr;٤;None;٢;٣;٣٢;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٦٠;Paid Up;Home Related;١٠١٤٤;< £100;1-4 yrs;٢;None;٤;١;٢١;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;١١٦٨;None;< 1yr;٤;None;٣;١;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٢;Paid Up;Used car;١٧٦٨;None;< 1yr;٣;None;٢;١;٢٤;Other Banks/Depts;١;1;١;١;١;١
Some Balance;٦٠;No Problems (in this bank);Home Related;١٥٦٥٣;None;1-4 yrs;٢;None;٤;٣;٢١;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٣٦;Paid Up;New car;٨٣٣٥;£100-£1000;4-7 yrs;٣;None;٤;٤;٤٧;Other Banks/Depts;٣;1;١;١;١;١
No Account;٣٦;No Problems (in this bank);New car;٥٨٠٠;None;< 1yr;٣;None;٤;٣;٣٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٨;No Problems (in this bank);Home Related;٨٤٧١;£100-£1000;< 1yr;١;None;٢;٣;٢٣;Other Banks/Depts;١;More than 1;١;١;٢;١
No Account;٣٠;Paid Up;Used car;٣٦٢٢;£100-£1000;4-7 yrs;٤;None;٤;٢;٥٧;Other Banks/Depts;١;More than 1;١;١;٢;١
No Account;٦;No Problems (in this bank);Home Related;١١٦٩;£100-£1000;4-7 yrs;٤;None;٤;١;٦٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٥;Paid Up;Home Related;١٢٦٢;£100-£1000;1-4 yrs;٤;None;٣;٢;٣٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٤٢;No Problems (in this bank);Home Related;٣٣٩٤;None;< 1yr;٤;Yes;٤;٣;٦٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٣٦;No Problems (in this bank);Home Related;٦٣٠٤;£100-£1000;4-7 yrs;٤;None;٤;١;٣٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٦;Paid Up;Home Related;٣٥١٨;None;< 1yr;٢;Yes;٣;٢;٢٦;Other Banks/Depts;١;1;١;١;١;١
No Account;٧٢;Paid Up;Home Related;٥٥٩٥;< £100;< 1yr;٢;None;٢;٣;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢١;No Problems (in this bank);New car;٢٩٩٣;None;< 1yr;٣;None;٢;١;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٣٦;No Problems (in this bank);New car;٨٩٤٧;£100-£1000;1-4 yrs;٣;None;٢;٣;٣١;Other Banks/Depts;٢;1;١;٢;٢;١
No Account;١٨;Paid Up;New car;٢٧٧٩;None;< 1yr;١;None;٣;٣;٢١;Other Banks/Depts;١;1;١;١;٢;١
No Account;٤٢;Some Problems;New car;٩٢٨٣;None;< 1yr;١;None;٢;٤;٥٥;Other Banks/Depts;٣;1;١;١;٢;١
Some Balance;١٥;No Problems (in this bank);New car;٣٣٦٨;£100-£1000;4-7 yrs;٣;None;٤;٤;٢٣;Other Banks/Depts;١;More than 1;١;١;٢;١
No Account;٣٦;Paid Up;New car;٥٤٩٣;None;4-7 yrs;٢;None;٤;٤;٤٢;Other Banks/Depts;٣;1;١;٢;١;١
No Account;٩;Paid Up;Home Related;١٠٨٢;None;4-7 yrs;٤;None;٤;٣;٣٧;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٠;Some Problems;New car;٦١٤٨;< £100;4-7 yrs;٣;None;٤;٣;٣١;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٢;Paid Up;Home Related;٣٠٥٩;£100-£1000;1-4 yrs;٢;None;٤;١;٦١;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Used car;٢٩٩٦;£100-£1000;< 1yr;٢;None;٤;٣;٢٠;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٣٠;No Problems (in this bank);New car;٧٥٩٦;£100-£1000;4-7 yrs;١;None;٤;٣;٦٣;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٦;Paid Up;Used car;١٧٦٦;None;< 1yr;١;None;٢;٢;٢١;Other Banks/Depts;١;1;١;١;١;١
No Account;٢٤;Paid Up;New car;٢٧٦٠;£100-£1000;4-7 yrs;٤;None;٤;٤;٣٦;Other Banks/Depts;٣;1;١;١;٢;١
No Account;٩;Paid Up;Home Related;٦٥٤;None;< 1yr;٤;None;٣;٣;٢٨;Other Banks/Depts;٢;1;١;١;١;١
No Account;٩;No Problems (in this bank);Home Related;١١٣٦;£100-£1000;4-7 yrs;٤;None;٣;٤;٣٢;Other Banks/Depts;٣;More than 1;١;٢;١;١
No Account;٢٤;No Problems (in this bank);Home Related;١١٩٩;None;4-7 yrs;٤;None;٤;٣;٦٠;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٢;Some Problems;Home Related;١٠٨٢;None;< 1yr;٤;None;٤;٣;٤٨;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٨;Paid Up;Home Related;٢٦٠٠;None;< 1yr;٤;None;٤;٤;٦٥;Other Banks/Depts;٣;More than 1;١;١;١;١
Some Balance;٢١;Some Problems;Home Related;٥٠٠٣;£100-£1000;< 1yr;١;None;٤;٢;٢٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٢٥٣٨;None;4-7 yrs;٤;None;٤;٣;٤٧;Other Banks/Depts;٢;More than 1;١;٢;١;١
Some Balance;٩;Paid Up;Home Related;١٤٧٨;None;1-4 yrs;٤;None;٢;٣;٢٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٩;No Problems (in this bank);Home Related;٤٩٣٣;None;1-4 yrs;٢;Yes;٢;١;٢٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٨;No Problems (in this bank);Home Related;١٥٣٠;None;< 1yr;٣;None;٢;٢;٣٢;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٥;Paid Up;Home Related;١٢٧٥;£100-£1000;< 1yr;٤;None;٢;٣;٢٤;Other Banks/Depts;١;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;١٨٢٣;None;< 1yr;٤;None;٢;٣;٣٠;Other Banks/Depts;٢;1;١;٢;١;١
No Account;٩;Paid Up;Home Related;١٤٢٢;None;< 1yr;٣;None;٢;٤;٢٧;Other Banks/Depts;٣;1;١;١;٢;١
No Account;٣٦;Paid Up;Home Related;٩٢٧١;None;1-4 yrs;٢;None;١;٣;٢٤;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٦;No Problems (in this bank);Used car;٣٣٨٤;None;< 1yr;١;None;٤;١;٤٤;Other Banks/Depts;١;1;١;١;٢;١
No Account;١٨;No Problems (in this bank);Home Related;١٢٤٥;None;< 1yr;٤;None;٢;٣;٣٣;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٥;Paid Up;Home Related;٤٦٢٣;< £100;< 1yr;٣;None;٢;٢;٤٠;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٣٠;No Problems (in this bank);Used car;٨٣٨٦;None;1-4 yrs;٢;None;٢;٢;٤٩;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;No Problems (in this bank);Home Related;١٠٢٤;None;< 1yr;٤;None;٤;١;٤٨;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٢;Some Problems;Home Related;٢١٤٩;None;< 1yr;٤;None;١;٤;٢٩;Other Banks/Depts;٣;1;١;١;١;١
Some Balance;٢٤;Paid Up;Home Related;٢٣٩٧;£100-£1000;4-7 yrs;٣;None;٢;٣;٣٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٦;Some Problems;Home Related;٩٣١;< £100;< 1yr;١;None;١;٢;٣٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Some Problems;Used car;٦٨٧٢;None;< 1yr;٢;None;١;٢;٥٥;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;٧٩٥;None;< 1yr;٤;None;٤;٢;٥٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٦;Some Problems;Home Related;١٩٥٣;None;4-7 yrs;٤;None;٤;٤;٦١;Other Banks/Depts;٣;1;١;١;٢;١
Some Balance;٢١;No Problems (in this bank);Home Related;٢٣١٩;None;< 1yr;٢;None;١;٣;٣٣;Other Banks/Depts;١;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;٩١٥;£100-£1000;4-7 yrs;٤;None;٢;٣;٢٩;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;١٣٨١;£100-£1000;< 1yr;٤;None;٢;٢;٣٥;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;١٢٨٥;£100-£1000;1-4 yrs;٤;None;٤;٤;٣٢;Other Banks/Depts;١;1;١;١;١;١
No Account;١٨;Paid Up;Home Related;١٠٤٢;£100-£1000;< 1yr;٤;None;٢;٢;٣٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;١٢٠٧;None;< 1yr;٤;None;٤;٢;٢٤;Other Banks/Depts;١;1;١;١;١;١
No Account;١٨;Some Problems;Home Related;٢٢٧٨;< £100;< 1yr;٣;None;٣;٣;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٤;Paid Up;Used car;٣٣٤٥;None;4-7 yrs;٤;None;٢;٢;٣٩;Other Banks/Depts;١;1;١;١;٢;١
No Account;٦;Some Problems;Home Related;١١٩٨;None;4-7 yrs;٤;None;٤;٤;٣٥;Other Banks/Depts;٣;1;١;١;١;١
Some Balance;١٨;Paid Up;Home Related;١٩٤٣;None;< 1yr;٤;None;٤;١;٢٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;Paid Up;Home Related;٣١٩٠;None;< 1yr;٢;None;٢;١;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٨;No Problems (in this bank);Used car;١٨٠٨;None;1-4 yrs;٤;None;١;١;٢٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;٨;Paid Up;Used car;١٢٣٧;None;< 1yr;٣;None;٤;١;٢٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٤٨;Paid Up;Home Related;١٠٩٦١;£100-£1000;1-4 yrs;١;Yes;٢;٤;٢٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٢٤;Paid Up;Home Related;١٩٣٨;None;< 1yr;٤;None;٣;٢;٣٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢١;Paid Up;Home Related;١٨٣٥;None;< 1yr;٣;None;٢;١;٢٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٢٤;No Problems (in this bank);Home Related;١٦٥٩;None;< 1yr;٤;None;٢;٣;٢٩;Other Banks/Depts;١;1;١;١;٢;١
No Account;٦;No Problems (in this bank);Home Related;١٢٠٩;None;< 1yr;٤;None;٤;٢;٤٧;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٤٨;Some Problems;Home Related;٣٨٤٤;< £100;1-4 yrs;٤;None;٤;٤;٣٤;Other Banks/Depts;٣;1;١;٢;١;١
No Account;١٢;No Problems (in this bank);Home Related;٤٨٤٣;None;4-7 yrs;٣;Yes;٤;٢;٤٣;Other Banks/Depts;١;More than 1;١;١;٢;١
Some Balance;٣٦;No Problems (in this bank);Home Related;٤٤٦٣;None;< 1yr;٤;None;٢;٣;٢٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٢٤;Paid Up;New car;١١٥٦٠;None;< 1yr;١;None;٤;٣;٢٣;Other Banks/Depts;١;More than 1;١;١;١;١
Some Balance;١٨;Some Problems;Home Related;٤١٦٥;None;< 1yr;٢;None;٢;٣;٣٦;Other Banks/Depts;٢;More than 1;١;٢;١;١
No Account;٢٤;Paid Up;Used car;٤٠٥٧;None;1-4 yrs;٣;None;٣;٣;٤٣;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٨;Some Problems;Home Related;٦٤٥٨;None;4-7 yrs;٢;None;٤;٤;٣٩;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;٣٦;Paid Up;Home Related;١٩٧٧;£100-£1000;4-7 yrs;٤;None;٤;٤;٤٠;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٢٤;Paid Up;Home Related;١١٣٢٨;None;< 1yr;٢;Yes;٣;٣;٢٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٦٠;Some Problems;Home Related;١٤٧٨٢;< £100;4-7 yrs;٣;None;٤;٤;٦٠;Other Banks/Depts;٣;More than 1;١;١;٢;١
No Account;١٢;Some Problems;Home Related;٦٢٦;None;< 1yr;٤;None;٤;١;٢٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٦;Paid Up;Home Related;٢٣٠٢;None;< 1yr;٤;None;٤;٣;٣١;Other Banks/Depts;١;1;١;١;١;١
No Account;١٢;Paid Up;Home Related;٧٢٧;< £100;< 1yr;٤;None;٣;٤;٣٣;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٤٨;Paid Up;Home Related;٣٩١٤;£100-£1000;< 1yr;٤;None;٢;١;٣٨;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٢;Paid Up;Home Related;١٥٣٤;None;< 1yr;١;None;١;١;٢٣;Other Banks/Depts;١;1;١;١;١;١
Some Balance;١٥;No Problems (in this bank);Home Related;١٢٧١;£100-£1000;< 1yr;٣;None;٤;٤;٣٩;Other Banks/Depts;٣;More than 1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;١٢٩٥;None;< 1yr;٣;None;١;٣;٢٥;Other Banks/Depts;١;1;١;١;١;١
No Account;١٢;Paid Up;Used car;٩٥١;< £100;< 1yr;٤;None;٤;٣;٢٧;Other Banks/Depts;١;More than 1;١;١;١;١
No Account;٤٨;Paid Up;Home Related;٣٠٥١;None;< 1yr;٣;None;٤;٣;٥٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٨;Paid Up;Home Related;٤٣٣;None;< 1yr;٣;Yes;٤;١;٢٢;Other Banks/Depts;١;1;١;١;١;١
No Account;٣٠;No Problems (in this bank);Home Related;٥٢٣٤;None;< 1yr;٤;None;٢;٣;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٩;Paid Up;Home Related;١٣٦٦;None;< 1yr;٣;None;٤;٢;٢٢;Other Banks/Depts;١;1;١;١;١;١
No Account;١٨;Paid Up;Used car;٢٤٧٣;None;< 1yr;٤;None;١;٣;٢٥;Other Banks/Depts;٢;1;١;١;١;١
No Account;٤٨;Paid Up;Home Related;٧٧٦٣;None;4-7 yrs;٤;None;٤;٤;٤٢;Other Banks/Depts;٣;1;١;١;١;١
No Account;١٥;Some Problems;Home Related;١٢٦٤;< £100;< 1yr;٢;None;٢;٢;٢٥;Other Banks/Depts;١;1;١;١;١;١
No Account;٤٨;Paid Up;Home Related;٦٥٦٠;< £100;1-4 yrs;٣;None;٢;٢;٢٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;٣١٢٣;None;< 1yr;٤;None;١;٢;٢٧;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٦;No Problems (in this bank);New car;٩٦٢٩;None;1-4 yrs;٤;None;٤;٣;٢٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٨;Paid Up;Used car;١١٣١;None;< 1yr;٤;None;٢;٣;٣٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;Paid Up;New car;١٢٩٧٦;None;< 1yr;٣;None;٤;٤;٣٨;Other Banks/Depts;٣;1;١;١;٢;١
No Account;٢٧;Paid Up;Home Related;٣٩١٥;None;< 1yr;٤;None;٢;٣;٣٦;Other Banks/Depts;٢;1;١;٢;٢;١
No Account;١٢;Paid Up;Home Related;٢٥٧٩;None;< 1yr;٤;None;١;١;٣٣;Other Banks/Depts;٢;1;١;٢;١;١
No Account;١٨;Paid Up;Used car;٤١٥٣;None;< 1yr;٢;Yes;٣;٣;٤٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;Some Problems;Used car;٣١١٤;None;< 1yr;١;None;٤;٢;٢٦;Other Banks/Depts;١;1;١;١;١;١
No Account;١٨;No Problems (in this bank);Used car;٢١٢٤;None;< 1yr;٤;None;٤;١;٢٤;Other Banks/Depts;١;More than 1;١;١;١;١
No Account;٣٠;Paid Up;Used car;٢٤٠٦;None;1-4 yrs;٤;None;٤;١;٢٣;Other Banks/Depts;١;1;١;١;١;١
No Account;٢٤;No Problems (in this bank);Home Related;١٣٣٣;None;< 1yr;٤;None;٢;١;٤٣;Other Banks/Depts;٣;More than 1;١;٢;١;١
No Account;١٢;No Problems (in this bank);Home Related;٦٩١;None;4-7 yrs;٤;None;٣;٢;٣٥;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٤٢;No Problems (in this bank);Home Related;٤٣٧٠;None;1-4 yrs;٣;None;٢;٢;٢٦;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;٢٤;Some Problems;Used car;٤١١٠;None;4-7 yrs;٣;None;٤;٤;٢٣;Other Banks/Depts;١;More than 1;١;٢;١;١
No Account;١٨;Paid Up;Used car;٢٤٦٢;None;< 1yr;٢;None;٢;٣;٢٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٢;Paid Up;Used car;١٢٨٢;None;< 1yr;٢;None;٤;٣;٢٠;Other Banks/Depts;١;1;١;١;١;١
No Account;١٢;Some Problems;Used car;٢٩٦٩;None;< 1yr;٤;None;٣;٢;٢٥;Other Banks/Depts;١;More than 1;١;١;١;١
No Account;٤٨;Some Problems;New car;٤٦٠٥;None;4-7 yrs;٣;None;٤;٤;٢٤;Other Banks/Depts;٣;More than 1;١;٢;١;١
No Account;٤٨;No Problems (in this bank);New car;٦٣٣١;None;4-7 yrs;٤;None;٤;٤;٤٦;Other Banks/Depts;٣;More than 1;١;١;٢;١
No Account;٢٧;Some Problems;Home Related;٥٢٩٣;None;< 1yr;٢;None;٤;٢;٥٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٢١;No Problems (in this bank);Home Related;٣٤١٤;None;< 1yr;٢;None;١;٢;٢٦;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٤٨;Paid Up;New car;١٠٢٩٧;None;1-4 yrs;٤;None;٤;٤;٣٩;Other Banks/Depts;٣;More than 1;١;٢;٢;١
No Account;٤٨;Some Problems;Home Related;١٤٤٢١;None;< 1yr;٢;None;٢;٣;٢٥;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٨;No Problems (in this bank);Home Related;١٠٥٦;None;4-7 yrs;٣;Yes;٣;١;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٢;Paid Up;Home Related;١٣٧٢;None;1-4 yrs;٢;None;٣;٣;٣٦;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;No Problems (in this bank);Home Related;٨٨٤;None;4-7 yrs;٤;None;٤;٣;٣٦;Other Banks/Depts;٢;1;١;٢;٢;١
No Account;٣٦;No Problems (in this bank);Home Related;٨٠٨٦;< £100;4-7 yrs;٢;None;٤;٣;٤٢;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٤٨;No Problems (in this bank);Home Related;١٠١٢٧;£100-£1000;< 1yr;٢;None;٢;٤;٤٤;Other Banks/Depts;٣;1;١;١;١;١
No Account;٣٦;Paid Up;Home Related;١٢٣٨٩;£100-£1000;< 1yr;١;None;٤;٤;٣٧;Other Banks/Depts;٣;1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;٧٠٩;None;4-7 yrs;٤;None;٤;١;٥٧;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٥;Some Problems;Home Related;٦٨٥٠;< £100;< 1yr;١;None;٢;٢;٣٤;Other Banks/Depts;٢;1;١;٢;٢;١
Some Balance;١٠;Paid Up;Used car;٢٢١٠;None;< 1yr;٢;None;٢;١;٢٥;Other Banks/Depts;١;1;١;١;١;١
Some Balance;٣٠;Some Problems;New car;٧٤٨٥;£100-£1000;< 1yr;٤;None;١;١;٥٣;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٤٥;No Problems (in this bank);Home Related;٤٧٤٦;None;< 1yr;٤;None;٢;٢;٢٤;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٢;No Problems (in this bank);Home Related;٩٣٩;£100-£1000;1-4 yrs;٤;None;٢;١;٢٨;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٤٨;No Problems (in this bank);New car;١١٥٩٠;< £100;< 1yr;٢;None;٤;٣;٢٤;Other Banks/Depts;١;More than 1;١;١;١;١
Some Balance;١٢;Some Problems;Home Related;٦٠٩;None;< 1yr;٤;None;١;١;٢٦;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;No Problems (in this bank);Home Related;١١٩٠;None;< 1yr;٢;None;٤;٤;٥٥;Other Banks/Depts;٣;More than 1;١;٢;١;١
No Account;٢١;Paid Up;Home Related;٢٧٦٧;< £100;4-7 yrs;٤;None;٢;٣;٦١;Other Banks/Depts;١;More than 1;١;١;١;١
No Account;٣٠;Paid Up;Used car;٣٤٤١;< £100;< 1yr;٢;Yes;٤;٣;٢١;Other Banks/Depts;١;1;١;١;١;١
Some Balance;١٨;Paid Up;Home Related;٦٧٦١;£100-£1000;< 1yr;٢;None;٤;٣;٦٨;Other Banks/Depts;١;More than 1;١;١;١;١
No Account;٥٤;Some Problems;Home Related;١٥٩٤٥;None;< 1yr;٣;None;٤;٤;٥٨;Other Banks/Depts;١;1;١;١;٢;١
No Account;٢٤;Paid Up;Used car;٣٢٣٤;None;< 1yr;٤;None;٤;١;٢٣;Other Banks/Depts;١;1;١;١;٢;١
No Account;١٥;Paid Up;Home Related;٨٠٢;None;4-7 yrs;٤;None;٣;٣;٣٧;Other Banks/Depts;٢;1;١;٢;١;١
No Account;٢١;Some Problems;Home Related;١٦٤٧;£100-£1000;< 1yr;٤;None;٢;٢;٤٠;Other Banks/Depts;٢;More than 1;١;٢;١;١
No Account;٢٧;Some Problems;Home Related;٨٣١٨;None;4-7 yrs;٢;None;٤;٤;٤٢;Other Banks/Depts;٣;More than 1;١;١;٢;١
No Account;٦;Paid Up;Home Related;٤٤٨;None;< 1yr;٤;None;٤;٢;٢٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٠;Paid Up;Home Related;١١٩٩٨;None;< 1yr;١;None;١;٤;٣٤;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;Paid Up;Used car;٢٧٦٢;£100-£1000;4-7 yrs;١;None;٢;٢;٢٥;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;Paid Up;New car;٣٣٨٦;None;4-7 yrs;٣;None;٤;٤;٣٥;Other Banks/Depts;٣;1;١;١;٢;١
No Account;٢٤;Paid Up;Home Related;٢٠٣٩;None;< 1yr;١;None;١;٢;٢٢;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;١٨٨٢;None;< 1yr;٤;None;٤;٣;٢٥;Other Banks/Depts;١;More than 1;١;١;١;١
No Account;٤٨;Paid Up;Home Related;٦٩٩٩;None;1-4 yrs;١;Yes;١;١;٣٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;٩٧٦;None;< 1yr;١;None;٢;٣;٢٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;٢٧١٨;None;< 1yr;٣;None;٤;٢;٢٠;Other Banks/Depts;١;1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;٧٥٠;None;< 1yr;٤;None;١;١;٢٧;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;No Problems (in this bank);Home Related;٣٩٦٦;None;4-7 yrs;١;None;٤;١;٣٣;Other Banks/Depts;١;More than 1;١;١;٢;١
No Account;١٢;Some Problems;Home Related;٦١٩٩;None;< 1yr;٤;None;٢;٢;٢٨;Other Banks/Depts;١;More than 1;١;١;٢;١
No Account;٢٤;Paid Up;Home Related;١٩٨٧;None;< 1yr;٢;None;٤;١;٢١;Other Banks/Depts;١;1;١;٢;١;١
No Account;٢٤;Paid Up;Home Related;٢٣٠٣;None;4-7 yrs;٤;Yes;١;١;٤٥;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٠;Paid Up;Used car;٦٣٥٠;£100-£1000;4-7 yrs;٤;None;٤;٢;٣١;Other Banks/Depts;٢;1;١;١;١;١
